Dataset	Effect	Trt	Estimate
174	Trt	B	-0.7983
174	Trt	A	0
174	Scale Parameter		2.2426
175	Intercept		-0.7137
175	Trt	D	-1.6250
175	Trt	C	-0.8176
175	Trt	B	-1.1395
175	Trt	A	0
175	Scale Parameter		2.3534
176	Intercept		-0.6772
176	Trt	D	-2.2963
176	Trt	C	-1.0359
176	Trt	B	-0.4599
176	Trt	A	0
176	Scale Parameter		3.9605
177	Intercept		-0.8114
177	Trt	D	-1.8326
177	Trt	C	-0.8265
177	Trt	B	-0.3621
177	Trt	A	0
177	Scale Parameter		3.8711
178	Intercept		-0.6914
178	Trt	D	-1.5527
178	Trt	C	-1.6112
178	Trt	B	-0.6651
178	Trt	A	0
178	Scale Parameter		3.1221
179	Intercept		-0.5486
179	Trt	D	-1.6397
179	Trt	C	-1.3707
179	Trt	B	-0.6841
179	Trt	A	0
179	Scale Parameter		3.1965
180	Intercept		-0.8910
180	Trt	D	-1.3111
180	Trt	C	-1.0102
180	Trt	B	-0.2098
180	Trt	A	0
180	Scale Parameter		3.8601
181	Intercept		-0.4280
181	Trt	D	-2.8103
181	Trt	C	-1.0563
181	Trt	B	-0.8353
181	Trt	A	0
181	Scale Parameter		3.2802
182	Intercept		-0.8028
182	Trt	D	-2.5062
182	Trt	C	-0.5921
182	Trt	B	-0.2087
182	Trt	A	0
182	Scale Parameter		3.4456
183	Intercept		-0.7967
183	Trt	D	-1.0973
183	Trt	C	-0.7797
183	Trt	B	-0.3997
183	Trt	A	0
183	Scale Parameter		2.1327
184	Intercept		-0.8602
184	Trt	D	-1.3878
184	Trt	C	-0.6182
184	Trt	B	-0.4462
184	Trt	A	0
184	Scale Parameter		3.8330
185	Intercept		-0.4786
185	Trt	D	-2.0205
185	Trt	C	-0.9646
185	Trt	B	-1.0513
185	Trt	A	0
185	Scale Parameter		3.1043
186	Intercept		-0.6889
186	Trt	D	-1.4924
186	Trt	C	-1.0866
186	Trt	B	-0.3598
186	Trt	A	0
186	Scale Parameter		2.5230
187	Intercept		-0.7619
187	Trt	D	-2.3450
187	Trt	C	-0.5682
187	Trt	B	-0.2053
187	Trt	A	0
187	Scale Parameter		4.1308
188	Intercept		-0.6594
188	Trt	D	-1.4116
188	Trt	C	-1.0814
188	Trt	B	-0.2983
188	Trt	A	0
188	Scale Parameter		2.0603
189	Intercept		-1.1446
189	Trt	D	-1.4425
189	Trt	C	-0.4745
189	Trt	B	-0.2078
189	Trt	A	0
189	Scale Parameter		4.2473
190	Intercept		-0.6640
190	Trt	D	-2.2382
190	Trt	C	-1.1634
190	Trt	B	-0.5899
190	Trt	A	0
190	Scale Parameter		4.1840
191	Intercept		-0.5866
191	Trt	D	-1.9039
191	Trt	C	-0.8091
191	Trt	B	-0.3813
191	Trt	A	0
191	Scale Parameter		1.7660
192	Intercept		-0.6207
192	Trt	D	-2.1111
192	Trt	C	-0.9522
192	Trt	B	-0.6823
192	Trt	A	0
192	Scale Parameter		3.6698
193	Intercept		-0.8528
193	Trt	D	-2.2454
193	Trt	C	-0.5405
193	Trt	B	-0.2227
193	Trt	A	0
193	Scale Parameter		3.5485
194	Intercept		-0.6052
194	Trt	D	-1.8451
194	Trt	C	-0.8763
194	Trt	B	-0.7869
194	Trt	A	0
194	Scale Parameter		2.0877
195	Intercept		-0.8232
195	Trt	D	-2.0148
195	Trt	C	-0.5996
195	Trt	B	-0.1832
195	Trt	A	0
195	Scale Parameter		2.6752
196	Intercept		-0.6836
196	Trt	D	-1.2804
196	Trt	C	-0.6065
196	Trt	B	-0.4297
196	Trt	A	0
196	Scale Parameter		2.5414
197	Intercept		-0.6667
197	Trt	D	-2.1623
197	Trt	C	-0.8452
197	Trt	B	-0.5457
197	Trt	A	0
197	Scale Parameter		2.5523
198	Intercept		-0.5221
198	Trt	D	-1.8338
198	Trt	C	-0.9822
198	Trt	B	-0.7295
198	Trt	A	0
198	Scale Parameter		2.9173
199	Intercept		-0.8343
199	Trt	D	-1.1466
199	Trt	C	-0.6922
199	Trt	B	-0.1486
199	Trt	A	0
199	Scale Parameter		5.3898
200	Intercept		-0.6342
200	Trt	D	-1.6115
200	Trt	C	-0.9204
200	Trt	B	-0.8417
200	Trt	A	0
200	Scale Parameter		3.1986
201	Intercept		-0.5239
201	Trt	D	-1.6244
201	Trt	C	-1.5837
201	Trt	B	-0.7140
201	Trt	A	0
201	Scale Parameter		2.2917
202	Intercept		-0.6022
202	Trt	D	-1.8286
202	Trt	C	-0.9324
202	Trt	B	-0.3667
202	Trt	A	0
202	Scale Parameter		2.6290
203	Intercept		-0.7903
203	Trt	D	-2.0736
203	Trt	C	-0.7409
203	Trt	B	-0.1642
203	Trt	A	0
203	Scale Parameter		4.1963
204	Intercept		-0.8883
204	Trt	D	-1.6926
204	Trt	C	-0.6116
204	Trt	B	-0.8177
204	Trt	A	0
204	Scale Parameter		1.5942
205	Intercept		-0.4314
205	Trt	D	-2.3639
205	Trt	C	-0.9954
205	Trt	B	-0.6554
205	Trt	A	0
205	Scale Parameter		3.0003
206	Intercept		-0.9233
206	Trt	D	-1.9470
206	Trt	C	-0.5098
206	Trt	B	-0.08270
206	Trt	A	0
206	Scale Parameter		3.3342
207	Intercept		-0.8056
207	Trt	D	-2.0162
207	Trt	C	-0.8810
207	Trt	B	-0.4795
207	Trt	A	0
207	Scale Parameter		5.1409
208	Intercept		-0.7837
208	Trt	D	-1.3651
208	Trt	C	-0.8321
208	Trt	B	-0.1440
208	Trt	A	0
208	Scale Parameter		2.5995
209	Intercept		-0.5786
209	Trt	D	-1.4064
209	Trt	C	-1.0349
209	Trt	B	-0.7124
209	Trt	A	0
209	Scale Parameter		3.2155
210	Intercept		-0.9027
210	Trt	D	-2.0115
210	Trt	C	-0.8341
210	Trt	B	-0.3907
210	Trt	A	0
210	Scale Parameter		4.0816
211	Intercept		-0.5442
211	Trt	D	-1.5428
211	Trt	C	-0.8882
211	Trt	B	-0.6912
211	Trt	A	0
211	Scale Parameter		2.1288
212	Intercept		-0.5076
212	Trt	D	-1.6323
212	Trt	C	-1.4594
212	Trt	B	-0.5667
212	Trt	A	0
212	Scale Parameter		2.4936
213	Intercept		-0.5532
213	Trt	D	-1.8179
213	Trt	C	-1.1717
213	Trt	B	-0.9402
213	Trt	A	0
213	Scale Parameter		3.2807
214	Intercept		-0.9544
214	Trt	D	-1.5278
214	Trt	C	-0.5829
214	Trt	B	0.001445
214	Trt	A	0
214	Scale Parameter		2.4054
215	Intercept		-0.8764
215	Trt	D	-1.2962
215	Trt	C	-0.9967
215	Trt	B	-0.3108
215	Trt	A	0
215	Scale Parameter		4.3950
216	Intercept		-0.6222
216	Trt	D	-1.5917
216	Trt	C	-0.8067
216	Trt	B	-0.7840
216	Trt	A	0
216	Scale Parameter		2.9099
217	Intercept		-0.6414
217	Trt	D	-2.3664
217	Trt	C	-0.8469
217	Trt	B	-0.2730
217	Trt	A	0
217	Scale Parameter		2.0404
218	Intercept		-1.2962
218	Trt	D	-1.2278
218	Trt	C	-0.4965
218	Trt	B	0.1002
218	Trt	A	0
218	Scale Parameter		3.5891
219	Intercept		-0.7660
219	Trt	D	-1.5155
219	Trt	C	-0.9471
219	Trt	B	-0.3374
219	Trt	A	0
219	Scale Parameter		4.6168
220	Intercept		-0.6150
220	Trt	D	-1.8119
220	Trt	C	-0.8505
220	Trt	B	-0.7471
220	Trt	A	0
220	Scale Parameter		2.5732
221	Intercept		-0.5359
221	Trt	D	-1.9722
221	Trt	C	-1.1250
221	Trt	B	-0.4919
221	Trt	A	0
221	Scale Parameter		2.6644
222	Intercept		-1.0998
222	Trt	D	-1.5818
222	Trt	C	-0.4736
222	Trt	B	0.1967
222	Trt	A	0
222	Scale Parameter		8.1930
223	Intercept		-0.5791
223	Trt	D	-1.5417
223	Trt	C	-0.9312
223	Trt	B	-0.5258
223	Trt	A	0
223	Scale Parameter		3.0717
224	Intercept		-0.7584
224	Trt	D	-1.3157
224	Trt	C	-0.8463
224	Trt	B	-0.4967
224	Trt	A	0
224	Scale Parameter		2.2149
225	Intercept		-0.6108
225	Trt	D	-2.2312
225	Trt	C	-1.2360
225	Trt	B	-0.8177
225	Trt	A	0
225	Scale Parameter		2.6043
226	Intercept		-0.7168
226	Trt	D	-1.8149
226	Trt	C	-1.1874
226	Trt	B	-0.4227
226	Trt	A	0
226	Scale Parameter		3.1010
227	Intercept		-0.8079
227	Trt	D	-1.6992
227	Trt	C	-0.6730
227	Trt	B	-0.1893
227	Trt	A	0
227	Scale Parameter		5.5458
228	Intercept		-0.7098
228	Trt	D	-1.6699
228	Trt	C	-0.8555
228	Trt	B	-0.5684
228	Trt	A	0
228	Scale Parameter		2.2101
229	Intercept		-0.6458
229	Trt	D	-2.0675
229	Trt	C	-1.0876
229	Trt	B	-0.5422
229	Trt	A	0
229	Scale Parameter		2.8140
230	Intercept		-0.7355
230	Trt	D	-1.6747
230	Trt	C	-1.4108
230	Trt	B	-0.4853
230	Trt	A	0
230	Scale Parameter		3.0252
231	Intercept		-0.7084
231	Trt	D	-1.2175
231	Trt	C	-1.0247
231	Trt	B	-0.3290
231	Trt	A	0
231	Scale Parameter		2.1467
232	Intercept		-0.5830
232	Trt	D	-1.8761
232	Trt	C	-0.8318
232	Trt	B	-0.7575
232	Trt	A	0
232	Scale Parameter		2.3412
233	Intercept		-0.5944
233	Trt	D	-1.8120
233	Trt	C	-0.9964
233	Trt	B	-0.5647
233	Trt	A	0
233	Scale Parameter		3.6342
234	Intercept		-0.5580
234	Trt	D	-2.0693
234	Trt	C	-1.0099
234	Trt	B	-0.8276
234	Trt	A	0
234	Scale Parameter		2.6699
235	Intercept		-0.8466
235	Trt	D	-1.2626
235	Trt	C	-1.1477
235	Trt	B	-0.4999
235	Trt	A	0
235	Scale Parameter		2.9710
236	Intercept		-0.7418
236	Trt	D	-1.8240
236	Trt	C	-1.1458
236	Trt	B	-0.5607
236	Trt	A	0
236	Scale Parameter		2.5221
237	Intercept		-0.6368
237	Trt	D	-1.6033
237	Trt	C	-1.0195
237	Trt	B	-0.2933
237	Trt	A	0
237	Scale Parameter		4.0749
238	Intercept		-0.4711
238	Trt	D	-1.7682
238	Trt	C	-1.1798
238	Trt	B	-0.9246
238	Trt	A	0
238	Scale Parameter		2.5976
239	Intercept		-0.9402
239	Trt	D	-1.6136
239	Trt	C	-0.6785
239	Trt	B	-0.2948
239	Trt	A	0
239	Scale Parameter		3.5382
240	Intercept		-0.4281
240	Trt	D	-2.2284
240	Trt	C	-0.9545
240	Trt	B	-0.6462
240	Trt	A	0
240	Scale Parameter		4.2747
241	Intercept		-0.9952
241	Trt	D	-1.1554
241	Trt	C	-0.4880
241	Trt	B	-0.1463
241	Trt	A	0
241	Scale Parameter		2.7235
242	Intercept		-0.7596
242	Trt	D	-1.3829
242	Trt	C	-1.0352
242	Trt	B	-0.4668
242	Trt	A	0
242	Scale Parameter		2.8711
243	Intercept		-0.5033
243	Trt	D	-2.4588
243	Trt	C	-1.2792
243	Trt	B	-0.6151
243	Trt	A	0
243	Scale Parameter		2.1003
244	Intercept		-0.6467
244	Trt	D	-1.4986
244	Trt	C	-1.0539
244	Trt	B	-0.7098
244	Trt	A	0
244	Scale Parameter		3.0081
245	Intercept		-0.8546
245	Trt	D	-1.8275
245	Trt	C	-0.5492
245	Trt	B	-0.3735
245	Trt	A	0
245	Scale Parameter		3.1346
246	Intercept		0.8436
246	Trt	D	-2.7528
246	Trt	C	-2.2499
246	Trt	B	-1.7236
246	Trt	A	0
246	Scale Parameter		0.6815
247	Intercept		-0.7904
247	Trt	D	-2.0945
247	Trt	C	-0.9956
247	Trt	B	-0.2563
247	Trt	A	0
247	Scale Parameter		3.7947
248	Intercept		-0.6594
248	Trt	D	-1.8697
248	Trt	C	-1.3746
248	Trt	B	-0.4834
248	Trt	A	0
248	Scale Parameter		3.9993
249	Intercept		-0.6388
249	Trt	D	-1.7470
249	Trt	C	-1.0440
249	Trt	B	-0.3206
249	Trt	A	0
249	Scale Parameter		2.3683
250	Intercept		-0.8783
250	Trt	D	-1.0868
250	Trt	C	-1.0868
250	Trt	B	-0.08173
250	Trt	A	0
250	Scale Parameter		2.2370
251	Intercept		-0.7275
251	Trt	D	-1.7243
251	Trt	C	-0.8112
251	Trt	B	-0.4706
251	Trt	A	0
251	Scale Parameter		2.7831
252	Intercept		-0.5153
252	Trt	D	-1.7004
252	Trt	C	-0.8897
252	Trt	B	-0.5950
252	Trt	A	0
252	Scale Parameter		2.5576
253	Intercept		-0.6567
253	Trt	D	-2.1352
253	Trt	C	-0.9102
253	Trt	B	-0.8105
253	Trt	A	0
253	Scale Parameter		3.2433
254	Intercept		-0.5071
254	Trt	D	-2.2026
254	Trt	C	-1.6177
254	Trt	B	-0.7617
254	Trt	A	0
254	Scale Parameter		3.0837
255	Intercept		-0.5563
255	Trt	D	-1.6051
255	Trt	C	-0.8957
255	Trt	B	-0.4858
255	Trt	A	0
255	Scale Parameter		2.1986
256	Intercept		-0.8802
256	Trt	D	-1.1739
256	Trt	C	-1.1687
256	Trt	B	-0.1604
256	Trt	A	0
256	Scale Parameter		1.8151
257	Intercept		-0.4345
257	Trt	D	-1.7361
257	Trt	C	-0.9878
257	Trt	B	-0.9222
257	Trt	A	0
257	Scale Parameter		2.9193
258	Intercept		-0.9013
258	Trt	D	-1.4879
258	Trt	C	-0.6152
258	Trt	B	-0.1179
258	Trt	A	0
258	Scale Parameter		4.3940
259	Intercept		-0.8990
259	Trt	D	-2.4299
259	Trt	C	-0.5873
259	Trt	B	-0.2294
259	Trt	A	0
259	Scale Parameter		3.3380
260	Intercept		-0.4788
260	Trt	D	-1.6496
260	Trt	C	-1.0201
260	Trt	B	-0.9961
260	Trt	A	0
260	Scale Parameter		3.8476
261	Intercept		-0.7472
261	Trt	D	-1.6409
261	Trt	C	-0.8214
261	Trt	B	-0.3253
261	Trt	A	0
261	Scale Parameter		2.2536
262	Intercept		-0.8672
262	Trt	D	-1.5139
262	Trt	C	-0.6194
262	Trt	B	-0.2960
262	Trt	A	0
262	Scale Parameter		2.2755
263	Intercept		-0.5621
263	Trt	D	-2.5301
263	Trt	C	-0.8874
263	Trt	B	-0.5918
263	Trt	A	0
263	Scale Parameter		3.1540
264	Intercept		-0.9032
264	Trt	D	-2.2932
264	Trt	C	-0.8840
264	Trt	B	-0.06167
264	Trt	A	0
264	Scale Parameter		2.2367
265	Intercept		-0.8949
265	Trt	D	-1.7053
265	Trt	C	-0.9677
265	Trt	B	-0.4005
265	Trt	A	0
265	Scale Parameter		2.2647
266	Intercept		-0.7681
266	Trt	D	-2.2036
266	Trt	C	-0.7377
266	Trt	B	-0.2429
266	Trt	A	0
266	Scale Parameter		2.3623
267	Intercept		-0.5334
267	Trt	D	-1.7892
267	Trt	C	-1.0076
267	Trt	B	-0.8145
267	Trt	A	0
267	Scale Parameter		3.2690
268	Intercept		-0.6251
268	Trt	D	-2.0026
268	Trt	C	-0.8063
268	Trt	B	-0.7225
268	Trt	A	0
268	Scale Parameter		2.2968
269	Intercept		-0.4366
269	Trt	D	-1.6768
269	Trt	C	-1.1573
269	Trt	B	-0.5130
269	Trt	A	0
269	Scale Parameter		3.0136
270	Intercept		-0.7045
270	Trt	D	-1.2536
270	Trt	C	-0.9764
270	Trt	B	-0.5026
270	Trt	A	0
270	Scale Parameter		3.3773
271	Intercept		-0.6843
271	Trt	D	-1.9681
271	Trt	C	-0.9765
271	Trt	B	-0.3989
271	Trt	A	0
271	Scale Parameter		5.6032
272	Intercept		-0.6217
272	Trt	D	-1.6585
272	Trt	C	-0.8639
272	Trt	B	-0.7065
272	Trt	A	0
272	Scale Parameter		2.8944
273	Intercept		-0.5949
273	Trt	D	-1.2416
273	Trt	C	-1.1851
273	Trt	B	-0.4620
273	Trt	A	0
273	Scale Parameter		2.3617
274	Intercept		1.8817
274	Trt	D	-3.7142
274	Trt	C	-3.0893
274	Trt	B	-2.7391
274	Trt	A	0
274	Scale Parameter		0.3301
275	Intercept		-0.6307
275	Trt	D	-2.1655
275	Trt	C	-0.9217
275	Trt	B	-0.2625
275	Trt	A	0
275	Scale Parameter		3.8032
276	Intercept		-0.6697
276	Trt	D	-1.7115
276	Trt	C	-1.2197
276	Trt	B	-0.3467
276	Trt	A	0
276	Scale Parameter		3.8064
277	Intercept		-0.7983
277	Trt	D	-1.6036
277	Trt	C	-1.1925
277	Trt	B	-0.3479
277	Trt	A	0
277	Scale Parameter		4.6513
278	Intercept		-0.8273
278	Trt	D	-1.5797
278	Trt	C	-0.7476
278	Trt	B	-0.5012
278	Trt	A	0
278	Scale Parameter		3.0199
279	Intercept		-0.6650
279	Trt	D	-1.4793
279	Trt	C	-1.1534
279	Trt	B	-0.8012
279	Trt	A	0
279	Scale Parameter		2.4108
280	Intercept		-0.6523
280	Trt	D	-1.6512
280	Trt	C	-1.3508
280	Trt	B	-0.4646
280	Trt	A	0
280	Scale Parameter		2.5647
281	Intercept		-0.7642
281	Trt	D	-1.6984
281	Trt	C	-0.8485
281	Trt	B	-0.5769
281	Trt	A	0
281	Scale Parameter		2.8938
282	Intercept		-0.4107
282	Trt	D	-1.9688
282	Trt	C	-1.5626
282	Trt	B	-0.8814
282	Trt	A	0
282	Scale Parameter		3.4105
283	Intercept		-1.0464
283	Trt	D	-1.6124
283	Trt	C	-0.8314
283	Trt	B	-0.1686
283	Trt	A	0
283	Scale Parameter		4.4510
284	Intercept		-0.7924
284	Trt	D	-1.4728
284	Trt	C	-0.6909
284	Trt	B	-0.3890
284	Trt	A	0
284	Scale Parameter		3.9873
285	Intercept		-0.7009
285	Trt	D	-2.3750
285	Trt	C	-1.0738
285	Trt	B	-0.2855
285	Trt	A	0
285	Scale Parameter		3.2497
286	Intercept		-0.9425
286	Trt	D	-1.3150
286	Trt	C	-0.6458
286	Trt	B	-0.4157
286	Trt	A	0
286	Scale Parameter		2.1537
287	Intercept		-0.6110
287	Trt	D	-3.9386
287	Trt	C	-0.9571
287	Trt	B	-0.3568
287	Trt	A	0
287	Scale Parameter		4.1551
288	Intercept		-0.7755
288	Trt	D	-1.1797
288	Trt	C	-0.8599
288	Trt	B	-0.3876
288	Trt	A	0
288	Scale Parameter		2.3542
289	Intercept		-0.7828
289	Trt	D	-1.5528
289	Trt	C	-0.7134
289	Trt	B	-0.7216
289	Trt	A	0
289	Scale Parameter		2.9339
290	Intercept		-0.7030
290	Trt	D	-2.4545
290	Trt	C	-0.6696
290	Trt	B	-0.3217
290	Trt	A	0
290	Scale Parameter		2.0963
291	Intercept		-0.4630
291	Trt	D	-1.8956
291	Trt	C	-0.9352
291	Trt	B	-0.7582
291	Trt	A	0
291	Scale Parameter		3.1204
292	Intercept		-0.5171
292	Trt	D	-1.9610
292	Trt	C	-1.0462
292	Trt	B	-0.3804
292	Trt	A	0
292	Scale Parameter		2.6408
293	Intercept		0.9297
293	Trt	D	-2.6382
293	Trt	C	-2.1642
293	Trt	B	-1.8894
293	Trt	A	0
293	Scale Parameter		0.5207
294	Intercept		-0.9022
294	Trt	D	-1.3090
294	Trt	C	-1.2646
294	Trt	B	-0.2051
294	Trt	A	0
294	Scale Parameter		3.1364
295	Intercept		-0.5775
295	Trt	D	-1.8300
295	Trt	C	-1.1109
295	Trt	B	-0.4824
295	Trt	A	0
295	Scale Parameter		1.4762
296	Intercept		-0.5457
296	Trt	D	-1.7749
296	Trt	C	-0.9848
296	Trt	B	-0.8628
296	Trt	A	0
296	Scale Parameter		1.9347
297	Intercept		-0.5698
297	Trt	D	-1.8392
297	Trt	C	-1.0397
297	Trt	B	-0.6414
297	Trt	A	0
297	Scale Parameter		2.8498
298	Intercept		-0.9516
298	Trt	D	-1.8616
298	Trt	C	-0.5770
298	Trt	B	-0.2554
298	Trt	A	0
298	Scale Parameter		2.8187
299	Intercept		-0.4777
299	Trt	D	-1.6434
299	Trt	C	-0.9432
299	Trt	B	-0.6609
299	Trt	A	0
299	Scale Parameter		2.2929
300	Intercept		-0.8539
300	Trt	D	-1.3650
300	Trt	C	-0.7156
300	Trt	B	-0.1809
300	Trt	A	0
300	Scale Parameter		2.3888
301	Intercept		-0.7040
301	Trt	D	-1.8237
301	Trt	C	-0.9922
301	Trt	B	-0.4468
301	Trt	A	0
301	Scale Parameter		2.3616
302	Intercept		-0.7481
302	Trt	D	-2.2729
302	Trt	C	-0.8471
302	Trt	B	-0.3640
302	Trt	A	0
302	Scale Parameter		2.8957
303	Intercept		-0.6526
303	Trt	D	-2.2592
303	Trt	C	-0.7045
303	Trt	B	-0.5506
303	Trt	A	0
303	Scale Parameter		1.8984
304	Intercept		-0.8083
304	Trt	D	-2.4476
304	Trt	C	-0.6336
304	Trt	B	-0.2926
304	Trt	A	0
304	Scale Parameter		2.1611
305	Intercept		-0.7183
305	Trt	D	-1.4235
305	Trt	C	-1.0241
305	Trt	B	-0.4288
305	Trt	A	0
305	Scale Parameter		2.5456
306	Intercept		-0.6326
306	Trt	D	-1.6798
306	Trt	C	-0.9780
306	Trt	B	-0.9358
306	Trt	A	0
306	Scale Parameter		4.2899
307	Intercept		-0.8089
307	Trt	D	-1.1788
307	Trt	C	-0.5888
307	Trt	B	-0.4543
307	Trt	A	0
307	Scale Parameter		2.6903
308	Intercept		-0.7474
308	Trt	D	-1.3423
308	Trt	C	-0.9110
308	Trt	B	-0.4075
308	Trt	A	0
308	Scale Parameter		2.3116
309	Intercept		-0.6442
309	Trt	D	-1.4673
309	Trt	C	-1.0278
309	Trt	B	-0.8073
309	Trt	A	0
309	Scale Parameter		3.3044
310	Intercept		-0.6872
310	Trt	D	-1.4009
310	Trt	C	-0.8796
310	Trt	B	-0.6257
310	Trt	A	0
310	Scale Parameter		2.5140
311	Intercept		-0.7707
311	Trt	D	-1.6740
311	Trt	C	-1.6465
311	Trt	B	-0.2336
311	Trt	A	0
311	Scale Parameter		2.8072
312	Intercept		-0.6323
312	Trt	D	-1.8741
312	Trt	C	-1.1966
312	Trt	B	-0.3341
312	Trt	A	0
312	Scale Parameter		2.4645
313	Intercept		-0.5607
313	Trt	D	-1.7244
313	Trt	C	-1.0060
313	Trt	B	-0.5272
313	Trt	A	0
313	Scale Parameter		2.5882
314	Intercept		-1.1181
314	Trt	D	-2.2054
314	Trt	C	-0.6738
314	Trt	B	-0.1590
314	Trt	A	0
314	Scale Parameter		3.5790
315	Intercept		-0.6096
315	Trt	D	-1.7911
315	Trt	C	-0.9704
315	Trt	B	-0.3526
315	Trt	A	0
315	Scale Parameter		2.5258
316	Intercept		-0.7380
316	Trt	D	-1.8336
316	Trt	C	-0.9236
316	Trt	B	-0.4600
316	Trt	A	0
316	Scale Parameter		1.5173
317	Intercept		-0.5058
317	Trt	D	-1.7711
317	Trt	C	-0.9944
317	Trt	B	-0.6367
317	Trt	A	0
317	Scale Parameter		2.1452
318	Intercept		-0.8062
318	Trt	D	-1.4909
318	Trt	C	-0.4816
318	Trt	B	-0.4019
318	Trt	A	0
318	Scale Parameter		2.3898
319	Intercept		-0.6622
319	Trt	D	-1.4226
319	Trt	C	-0.8950
319	Trt	B	-0.3550
319	Trt	A	0
319	Scale Parameter		2.4878
320	Intercept		-0.7672
320	Trt	D	-1.7208
320	Trt	C	-1.0890
320	Trt	B	-0.3459
320	Trt	A	0
320	Scale Parameter		3.1607
321	Intercept		-0.5668
321	Trt	D	-1.4742
321	Trt	C	-1.0387
321	Trt	B	-0.4183
321	Trt	A	0
321	Scale Parameter		2.0779
322	Intercept		-0.5779
322	Trt	D	-2.7747
322	Trt	C	-0.8593
322	Trt	B	-0.4362
322	Trt	A	0
322	Scale Parameter		3.0550
323	Intercept		-0.7796
323	Trt	D	-1.4394
323	Trt	C	-0.8775
323	Trt	B	-0.4090
323	Trt	A	0
323	Scale Parameter		4.7552
324	Intercept		-0.7068
324	Trt	D	-1.9737
324	Trt	C	-0.7837
324	Trt	B	-0.4729
324	Trt	A	0
324	Scale Parameter		1.7792
325	Intercept		-0.4560
325	Trt	D	-1.9888
325	Trt	C	-1.1709
325	Trt	B	-0.5953
325	Trt	A	0
325	Scale Parameter		4.4152
326	Intercept		-0.6533
326	Trt	D	-2.7831
326	Trt	C	-1.0206
326	Trt	B	-0.4831
326	Trt	A	0
326	Scale Parameter		4.5321
327	Intercept		-0.9696
327	Trt	D	-1.7018
327	Trt	C	-0.9329
327	Trt	B	-0.3212
327	Trt	A	0
327	Scale Parameter		2.8358
328	Intercept		-1.1280
328	Trt	D	-1.8831
328	Trt	C	-0.2823
328	Trt	B	0.1327
328	Trt	A	0
328	Scale Parameter		2.4641
329	Intercept		-0.9196
329	Trt	D	-1.0698
329	Trt	C	-0.8622
329	Trt	B	-0.5625
329	Trt	A	0
329	Scale Parameter		3.5633
330	Intercept		-0.8345
330	Trt	D	-2.4155
330	Trt	C	-0.6166
330	Trt	B	-0.3511
330	Trt	A	0
330	Scale Parameter		2.9294
331	Intercept		-0.7997
331	Trt	D	-1.5767
331	Trt	C	-0.8183
331	Trt	B	-0.7202
331	Trt	A	0
331	Scale Parameter		2.4573
332	Intercept		-0.6195
332	Trt	D	-1.9340
332	Trt	C	-0.5375
332	Trt	B	-0.3297
332	Trt	A	0
332	Scale Parameter		2.9048
333	Intercept		-0.5969
333	Trt	D	-1.4880
333	Trt	C	-1.1272
333	Trt	B	-0.7072
333	Trt	A	0
333	Scale Parameter		2.4436
334	Intercept		-0.7105
334	Trt	D	-1.7768
334	Trt	C	-0.7948
334	Trt	B	-0.4063
334	Trt	A	0
334	Scale Parameter		4.5926
335	Intercept		-0.8692
335	Trt	D	-1.4243
335	Trt	C	-0.6393
335	Trt	B	-0.3611
335	Trt	A	0
335	Scale Parameter		3.9038
336	Intercept		-0.6312
336	Trt	D	-1.3609
336	Trt	C	-0.9390
336	Trt	B	-0.5329
336	Trt	A	0
336	Scale Parameter		1.7534
337	Intercept		-0.5651
337	Trt	D	-2.2280
337	Trt	C	-1.1517
337	Trt	B	-0.7951
337	Trt	A	0
337	Scale Parameter		2.3062
338	Intercept		-0.9349
338	Trt	D	-1.4530
338	Trt	C	-0.6029
338	Trt	B	-0.6851
338	Trt	A	0
338	Scale Parameter		2.3618
339	Intercept		-0.6364
339	Trt	D	-1.6980
339	Trt	C	-0.9991
339	Trt	B	-0.7131
339	Trt	A	0
339	Scale Parameter		3.0427
340	Intercept		2.6891
340	Trt	D	-5.1854
340	Trt	C	-3.6879
340	Trt	B	-3.8607
340	Trt	A	0
340	Scale Parameter		0.2164
341	Intercept		-0.5735
341	Trt	D	-2.0760
341	Trt	C	-1.0166
341	Trt	B	-0.3678
341	Trt	A	0
341	Scale Parameter		1.9434
342	Intercept		-0.5995
342	Trt	D	-1.7432
342	Trt	C	-1.2790
342	Trt	B	-0.4285
342	Trt	A	0
342	Scale Parameter		3.2235
343	Intercept		-0.5861
343	Trt	D	-1.8724
343	Trt	C	-0.9334
343	Trt	B	-0.6816
343	Trt	A	0
343	Scale Parameter		2.7693
344	Intercept		-0.6351
344	Trt	D	-1.6826
344	Trt	C	-1.3622
344	Trt	B	-0.5117
344	Trt	A	0
344	Scale Parameter		2.3854
345	Intercept		-0.6569
345	Trt	D	-1.7127
345	Trt	C	-0.8237
345	Trt	B	-0.6858
345	Trt	A	0
345	Scale Parameter		1.9422
346	Intercept		-1.0403
346	Trt	D	-1.5387
346	Trt	C	-0.4252
346	Trt	B	-0.7663
346	Trt	A	0
346	Scale Parameter		2.3541
347	Intercept		-0.5177
347	Trt	D	-2.3755
347	Trt	C	-0.9988
347	Trt	B	-0.6001
347	Trt	A	0
347	Scale Parameter		1.8314
348	Intercept		-0.9640
348	Trt	D	-1.8035
348	Trt	C	-0.7250
348	Trt	B	-0.2078
348	Trt	A	0
348	Scale Parameter		2.4790
349	Intercept		-0.5137
349	Trt	D	-2.4206
