Dataset	Effect	Trt	Estimate
40	Trt	A	0
40	Scale Parameter		3.2125
41	Intercept		-0.9200
41	Trt	D	-1.2209
41	Trt	C	-0.6782
41	Trt	B	-0.2192
41	Trt	A	0
41	Scale Parameter		2.2148
42	Intercept		-0.6477
42	Trt	D	-1.6241
42	Trt	C	-1.0077
42	Trt	B	-0.5910
42	Trt	A	0
42	Scale Parameter		2.5420
43	Intercept		-0.8162
43	Trt	D	-1.9442
43	Trt	C	-1.1682
43	Trt	B	-0.1982
43	Trt	A	0
43	Scale Parameter		2.2815
44	Intercept		-0.5580
44	Trt	D	-2.0303
44	Trt	C	-1.3284
44	Trt	B	-0.7007
44	Trt	A	0
44	Scale Parameter		3.5791
45	Intercept		-0.5541
45	Trt	D	-1.5546
45	Trt	C	-1.4896
45	Trt	B	-0.5713
45	Trt	A	0
45	Scale Parameter		3.2852
46	Intercept		-0.8287
46	Trt	D	-1.3656
46	Trt	C	-0.6727
46	Trt	B	-0.5304
46	Trt	A	0
46	Scale Parameter		4.6784
47	Intercept		-0.5792
47	Trt	D	-1.7814
47	Trt	C	-1.2643
47	Trt	B	-0.5268
47	Trt	A	0
47	Scale Parameter		1.9874
48	Intercept		-0.6084
48	Trt	D	-1.7818
48	Trt	C	-1.0120
48	Trt	B	-0.4845
48	Trt	A	0
48	Scale Parameter		2.4809
49	Intercept		-0.6056
49	Trt	D	-1.9326
49	Trt	C	-0.9673
49	Trt	B	-0.5620
49	Trt	A	0
49	Scale Parameter		2.3175
50	Intercept		-0.5554
50	Trt	D	-2.0769
50	Trt	C	-1.2763
50	Trt	B	-0.4656
50	Trt	A	0
50	Scale Parameter		2.3009
51	Intercept		-0.7726
51	Trt	D	-2.0221
51	Trt	C	-0.8008
51	Trt	B	-0.4397
51	Trt	A	0
51	Scale Parameter		2.5011
52	Intercept		-0.5850
52	Trt	D	-1.6301
52	Trt	C	-0.9912
52	Trt	B	-0.6390
52	Trt	A	0
52	Scale Parameter		1.9119
53	Intercept		-0.8038
53	Trt	D	-1.9735
