Dataset	Parm	Level1	Estimate
47	Trt	B	-0.4838
47	Trt	A	0.0000
48	Intercept		-0.6229
48	Trt	D	-2.1960
48	Trt	C	-1.1326
48	Trt	B	-0.4644
48	Trt	A	0.0000
49	Intercept		-0.6290
49	Trt	D	-2.1970
49	Trt	C	-0.9785
49	Trt	B	-0.4862
49	Trt	A	0.0000
50	Intercept		-0.5801
50	Trt	D	-2.4561
50	Trt	C	-1.3904
50	Trt	B	-0.4280
50	Trt	A	0.0000
51	Intercept		-0.7893
51	Trt	D	-2.2302
51	Trt	C	-0.9585
51	Trt	B	-0.3676
51	Trt	A	0.0000
52	Intercept		-0.6270
52	Trt	D	-1.9614
52	Trt	C	-1.1530
52	Trt	B	-0.6188
52	Trt	A	0.0000
53	Intercept		-0.8004
53	Trt	D	-2.2099
53	Trt	C	-0.9554
53	Trt	B	-0.0083
53	Trt	A	0.0000
54	Intercept		-0.6220
54	Trt	D	-3.1590
54	Trt	C	-1.1732
54	Trt	B	-0.8190
54	Trt	A	0.0000
55	Intercept		-0.8495
55	Trt	D	-1.9789
55	Trt	C	-1.1125
55	Trt	B	-0.1561
55	Trt	A	0.0000
56	Intercept		-0.6422
56	Trt	D	-2.2103
56	Trt	C	-1.2927
56	Trt	B	-0.8133
56	Trt	A	0.0000
57	Intercept		-0.6470
57	Trt	D	-1.6393
57	Trt	C	-0.5967
57	Trt	B	-0.4088
57	Trt	A	0.0000
58	Intercept		-0.5779
58	Trt	D	-2.0167
58	Trt	C	-0.9735
58	Trt	B	-0.5829
58	Trt	A	0.0000
59	Intercept		-0.9027
59	Trt	D	-1.2750
59	Trt	C	-0.8789
59	Trt	B	-0.4951
59	Trt	A	0.0000
60	Intercept		-0.6248
60	Trt	D	-2.1793
60	Trt	C	-0.9120
60	Trt	B	-0.7502
60	Trt	A	0.0000
61	Intercept		-1.2023
61	Trt	D	-1.5629
61	Trt	C	-0.2515
61	Trt	B	-0.2992
61	Trt	A	0.0000
62	Intercept		-0.4103
62	Trt	D	-2.1012
62	Trt	C	-1.2377
62	Trt	B	-0.8354
62	Trt	A	0.0000
63	Intercept		-0.9340
63	Trt	D	-1.8047
63	Trt	C	-1.2642
63	Trt	B	-0.3786
63	Trt	A	0.0000
64	Intercept		-0.6616
64	Trt	D	-1.7936
64	Trt	C	-1.3569
64	Trt	B	-0.7649
64	Trt	A	0.0000
65	Intercept		-0.8351
65	Trt	D	-1.5621
65	Trt	C	-1.1000
65	Trt	B	-0.5320
65	Trt	A	0.0000
66	Intercept		-0.7877
66	Trt	D	-2.4234
66	Trt	C	-0.6242
66	Trt	B	-0.3887
66	Trt	A	0.0000
67	Intercept		-1.1141
67	Trt	D	-1.6086
67	Trt	C	-0.5882
67	Trt	B	-0.1600
67	Trt	A	0.0000
68	Intercept		-0.7893
68	Trt	D	-2.1056
68	Trt	C	-0.6996
68	Trt	B	-0.6625
68	Trt	A	0.0000
69	Intercept		-0.6994
69	Trt	D	-1.9323
69	Trt	C	-1.0735
69	Trt	B	-0.5301
69	Trt	A	0.0000
70	Intercept		-0.8150
70	Trt	D	-1.8017
70	Trt	C	-0.7296
70	Trt	B	-0.3769
70	Trt	A	0.0000
71	Intercept		-0.9189
71	Trt	D	-1.0348
71	Trt	C	-0.9029
71	Trt	B	-0.2308
71	Trt	A	0.0000
72	Intercept		-0.4813
72	Trt	D	-2.1162
72	Trt	C	-1.3409
72	Trt	B	-0.7677
72	Trt	A	0.0000
73	Intercept		-0.7806
73	Trt	D	-2.2959
73	Trt	C	-0.4621
73	Trt	B	-0.2907
73	Trt	A	0.0000
74	Intercept		-0.8172
74	Trt	D	-1.6005
74	Trt	C	-0.4903
74	Trt	B	-0.3741
74	Trt	A	0.0000
75	Intercept		-0.7875
75	Trt	D	-2.0572
75	Trt	C	-1.2777
75	Trt	B	-0.4025
75	Trt	A	0.0000
76	Intercept		-0.5646
76	Trt	D	-2.0375
76	Trt	C	-0.8849
76	Trt	B	-0.9412
76	Trt	A	0.0000
77	Intercept		-0.6647
77	Trt	D	-2.5947
77	Trt	C	-0.7343
77	Trt	B	-0.6270
77	Trt	A	0.0000
78	Intercept		-0.4833
78	Trt	D	-1.8530
78	Trt	C	-1.0996
78	Trt	B	-0.9651
78	Trt	A	0.0000
79	Intercept		-0.6865
79	Trt	D	-2.5670
79	Trt	C	-1.1101
79	Trt	B	-0.6521
79	Trt	A	0.0000
80	Intercept		-0.8088
80	Trt	D	-2.0571
80	Trt	C	-0.8127
80	Trt	B	-0.3137
80	Trt	A	0.0000
81	Intercept		-0.8985
81	Trt	D	-1.7088
81	Trt	C	-0.6915
81	Trt	B	-0.2149
81	Trt	A	0.0000
82	Intercept		-1.1452
