Dataset	Parm	Level1	Estimate
205	Trt	A	0.0000
206	Intercept		-0.9141
206	Trt	D	-2.2267
206	Trt	C	-0.6124
206	Trt	B	-0.1093
206	Trt	A	0.0000
207	Intercept		-0.8119
207	Trt	D	-2.3068
207	Trt	C	-0.9545
207	Trt	B	-0.4722
207	Trt	A	0.0000
208	Intercept		-0.7716
208	Trt	D	-1.6514
208	Trt	C	-0.9079
208	Trt	B	-0.1861
208	Trt	A	0.0000
209	Intercept		-0.6062
209	Trt	D	-1.5995
209	Trt	C	-1.0905
209	Trt	B	-0.7091
209	Trt	A	0.0000
210	Intercept		-0.8982
210	Trt	D	-2.3582
210	Trt	C	-0.9444
210	Trt	B	-0.3998
210	Trt	A	0.0000
211	Intercept		-0.5821
211	Trt	D	-1.7094
211	Trt	C	-1.0304
211	Trt	B	-0.6171
211	Trt	A	0.0000
212	Intercept		-0.5678
212	Trt	D	-1.7761
212	Trt	C	-1.6747
212	Trt	B	-0.5786
212	Trt	A	0.0000
213	Intercept		-0.5942
213	Trt	D	-1.8752
213	Trt	C	-1.1735
213	Trt	B	-0.9940
213	Trt	A	0.0000
214	Intercept		-0.8917
214	Trt	D	-2.0631
214	Trt	C	-0.8475
214	Trt	B	-0.0895
214	Trt	A	0.0000
215	Intercept		-0.8638
215	Trt	D	-1.5736
215	Trt	C	-1.1610
215	Trt	B	-0.3395
215	Trt	A	0.0000
216	Intercept		-0.6595
216	Trt	D	-1.9671
216	Trt	C	-0.8680
216	Trt	B	-0.7804
216	Trt	A	0.0000
217	Intercept		-0.6305
217	Trt	D	-2.9657
217	Trt	C	-0.9041
217	Trt	B	-0.3304
217	Trt	A	0.0000
218	Intercept		-1.1626
218	Trt	D	-1.6634
218	Trt	C	-0.8283
218	Trt	B	-0.0701
218	Trt	A	0.0000
219	Intercept		-0.7785
219	Trt	D	-1.8611
219	Trt	C	-1.0103
219	Trt	B	-0.3015
219	Trt	A	0.0000
220	Intercept		-0.6413
220	Trt	D	-2.1723
220	Trt	C	-0.9661
220	Trt	B	-0.7223
220	Trt	A	0.0000
221	Intercept		-0.5694
221	Trt	D	-2.2589
221	Trt	C	-1.1845
221	Trt	B	-0.4724
221	Trt	A	0.0000
222	Intercept		-1.0718
222	Trt	D	-1.7715
222	Trt	C	-0.4980
222	Trt	B	0.1622
222	Trt	A	0.0000
223	Intercept		-0.5938
223	Trt	D	-1.8296
223	Trt	C	-1.0437
223	Trt	B	-0.5182
223	Trt	A	0.0000
224	Intercept		-0.7726
224	Trt	D	-1.5589
224	Trt	C	-1.0482
224	Trt	B	-0.4084
224	Trt	A	0.0000
225	Intercept		-0.6427
225	Trt	D	-2.6233
225	Trt	C	-1.5968
225	Trt	B	-0.8685
225	Trt	A	0.0000
226	Intercept		-0.7096
226	Trt	D	-1.8148
226	Trt	C	-1.2646
226	Trt	B	-0.4783
226	Trt	A	0.0000
227	Intercept		-0.8168
227	Trt	D	-1.9161
227	Trt	C	-0.7182
227	Trt	B	-0.1692
227	Trt	A	0.0000
228	Intercept		-0.7240
228	Trt	D	-1.9883
228	Trt	C	-1.0281
228	Trt	B	-0.5683
228	Trt	A	0.0000
229	Intercept		-0.6804
229	Trt	D	-2.5383
229	Trt	C	-1.2345
229	Trt	B	-0.5329
229	Trt	A	0.0000
230	Intercept		-0.7330
230	Trt	D	-2.0180
230	Trt	C	-1.5313
230	Trt	B	-0.6168
230	Trt	A	0.0000
231	Intercept		-0.7299
231	Trt	D	-1.5440
231	Trt	C	-1.1479
231	Trt	B	-0.3316
231	Trt	A	0.0000
232	Intercept		-0.6102
232	Trt	D	-2.0987
232	Trt	C	-0.9163
232	Trt	B	-0.7162
232	Trt	A	0.0000
233	Intercept		-0.6087
233	Trt	D	-2.0675
233	Trt	C	-1.1045
233	Trt	B	-0.5635
233	Trt	A	0.0000
234	Intercept		-0.5776
234	Trt	D	-2.4395
234	Trt	C	-1.1093
234	Trt	B	-0.8471
234	Trt	A	0.0000
235	Intercept		-0.8462
235	Trt	D	-1.5010
235	Trt	C	-1.3558
235	Trt	B	-0.5229
235	Trt	A	0.0000
236	Intercept		-0.7505
236	Trt	D	-2.0825
236	Trt	C	-1.2232
236	Trt	B	-0.5548
236	Trt	A	0.0000
237	Intercept		-0.6628
237	Trt	D	-1.9480
237	Trt	C	-1.0643
237	Trt	B	-0.2613
237	Trt	A	0.0000
238	Intercept		-0.5194
238	Trt	D	-1.9937
238	Trt	C	-1.1924
238	Trt	B	-0.9446
238	Trt	A	0.0000
239	Intercept		-0.9264
239	Trt	D	-2.0062
239	Trt	C	-0.7966
239	Trt	B	-0.3215
239	Trt	A	0.0000
240	Intercept		-0.4532
240	Trt	D	-2.3686
240	Trt	C	-0.9941
240	Trt	B	-0.6183
240	Trt	A	0.0000
241	Intercept		-0.9763
241	Trt	D	-1.5052
241	Trt	C	-0.5934
241	Trt	B	-0.1761
241	Trt	A	0.0000
242	Intercept		-0.7568
242	Trt	D	-1.6672
242	Trt	C	-1.1752
242	Trt	B	-0.4993
242	Trt	A	0.0000
243	Intercept		-0.5463
243	Trt	D	-2.9633
243	Trt	C	-1.6115
243	Trt	B	-0.6748
243	Trt	A	0.0000
244	Intercept		-0.6695
244	Trt	D	-1.8608
244	Trt	C	-1.0428
244	Trt	B	-0.7243
244	Trt	A	0.0000
245	Intercept		-0.8746
245	Trt	D	-2.0962
245	Trt	C	-0.5426
245	Trt	B	-0.3916
245	Trt	A	0.0000
246	Intercept		-0.3902
246	Trt	D	-2.0875
246	Trt	C	-1.2526
246	Trt	B	-0.7006
246	Trt	A	0.0000
247	Intercept		-0.8036
247	Trt	D	-2.5296
247	Trt	C	-1.0522
247	Trt	B	-0.2470
247	Trt	A	0.0000
248	Intercept		-0.6770
248	Trt	D	-2.0229
248	Trt	C	-1.5035
248	Trt	B	-0.4911
248	Trt	A	0.0000
249	Intercept		-0.6736
249	Trt	D	-2.0763
249	Trt	C	-1.0938
249	Trt	B	-0.2424
249	Trt	A	0.0000
250	Intercept		-0.8686
250	Trt	D	-1.4718
250	Trt	C	-1.0788
250	Trt	B	-0.0626
250	Trt	A	0.0000
251	Intercept		-0.7150
251	Trt	D	-2.1165
251	Trt	C	-0.9878
251	Trt	B	-0.4226
251	Trt	A	0.0000
252	Intercept		-0.5354
252	Trt	D	-1.9657
252	Trt	C	-0.9597
252	Trt	B	-0.6166
252	Trt	A	0.0000
253	Intercept		-0.6671
253	Trt	D	-2.2327
253	Trt	C	-1.0950
253	Trt	B	-0.8030
253	Trt	A	0.0000
254	Intercept		-0.5422
254	Trt	D	-2.6916
254	Trt	C	-1.9414
254	Trt	B	-0.6829
254	Trt	A	0.0000
255	Intercept		-0.5922
255	Trt	D	-2.0383
255	Trt	C	-0.8557
255	Trt	B	-0.5202
255	Trt	A	0.0000
256	Intercept		-0.8812
256	Trt	D	-1.3693
256	Trt	C	-1.3601
256	Trt	B	-0.2025
256	Trt	A	0.0000
257	Intercept		-0.4837
257	Trt	D	-1.9982
257	Trt	C	-1.0769
257	Trt	B	-0.9149
257	Trt	A	0.0000
258	Intercept		-0.8791
258	Trt	D	-1.6889
258	Trt	C	-0.7228
258	Trt	B	-0.1270
258	Trt	A	0.0000
259	Intercept		-0.9036
259	Trt	D	-2.8139
259	Trt	C	-0.6515
259	Trt	B	-0.2596
259	Trt	A	0.0000
260	Intercept		-0.5066
260	Trt	D	-1.7987
260	Trt	C	-1.0600
260	Trt	B	-1.0424
260	Trt	A	0.0000
261	Intercept		-0.7790
261	Trt	D	-1.9969
261	Trt	C	-0.8892
261	Trt	B	-0.2753
261	Trt	A	0.0000
262	Intercept		-0.8686
262	Trt	D	-1.8579
262	Trt	C	-0.7746
262	Trt	B	-0.2837
262	Trt	A	0.0000
263	Intercept		-0.5877
263	Trt	D	-3.0077
263	Trt	C	-0.9796
263	Trt	B	-0.6084
263	Trt	A	0.0000
264	Intercept		-0.9121
264	Trt	D	-2.6276
264	Trt	C	-0.9042
264	Trt	B	-0.0842
264	Trt	A	0.0000
265	Intercept		-0.9098
265	Trt	D	-2.0429
265	Trt	C	-1.2471
265	Trt	B	-0.3467
265	Trt	A	0.0000
266	Intercept		-0.7828
266	Trt	D	-2.8230
266	Trt	C	-0.7517
266	Trt	B	-0.2904
266	Trt	A	0.0000
267	Intercept		-0.5748
267	Trt	D	-2.1176
267	Trt	C	-1.1018
267	Trt	B	-0.7935
267	Trt	A	0.0000
268	Intercept		-0.6727
268	Trt	D	-2.4429
268	Trt	C	-0.9692
268	Trt	B	-0.6283
268	Trt	A	0.0000
269	Intercept		-0.4810
269	Trt	D	-1.9562
269	Trt	C	-1.2706
269	Trt	B	-0.4857
269	Trt	A	0.0000
270	Intercept		-0.7235
270	Trt	D	-1.5222
270	Trt	C	-0.9879
270	Trt	B	-0.4737
270	Trt	A	0.0000
271	Intercept		-0.6938
271	Trt	D	-2.1709
271	Trt	C	-0.9993
271	Trt	B	-0.3906
271	Trt	A	0.0000
272	Intercept		-0.6483
272	Trt	D	-2.0752
272	Trt	C	-0.9063
272	Trt	B	-0.7475
272	Trt	A	0.0000
273	Intercept		-0.6272
273	Trt	D	-1.4658
273	Trt	C	-1.2863
273	Trt	B	-0.4854
273	Trt	A	0.0000
274	Intercept		-0.3842
274	Trt	D	-2.6046
274	Trt	C	-1.4340
274	Trt	B	-0.5737
274	Trt	A	0.0000
275	Intercept		-0.6445
275	Trt	D	-2.5077
275	Trt	C	-1.1090
275	Trt	B	-0.2439
275	Trt	A	0.0000
276	Intercept		-0.6854
276	Trt	D	-1.8862
276	Trt	C	-1.4478
276	Trt	B	-0.3359
276	Trt	A	0.0000
277	Intercept		-0.8018
277	Trt	D	-1.7921
277	Trt	C	-1.3007
277	Trt	B	-0.3506
277	Trt	A	0.0000
278	Intercept		-0.8218
278	Trt	D	-1.7905
278	Trt	C	-0.9268
278	Trt	B	-0.5590
278	Trt	A	0.0000
279	Intercept		-0.6875
279	Trt	D	-1.5674
279	Trt	C	-1.3234
279	Trt	B	-0.8056
279	Trt	A	0.0000
280	Intercept		-0.6899
280	Trt	D	-1.9104
280	Trt	C	-1.4868
280	Trt	B	-0.4219
280	Trt	A	0.0000
281	Intercept		-0.7563
281	Trt	D	-2.1586
281	Trt	C	-0.9781
281	Trt	B	-0.5268
281	Trt	A	0.0000
282	Intercept		-0.4471
282	Trt	D	-2.4032
282	Trt	C	-1.6187
282	Trt	B	-0.8620
282	Trt	A	0.0000
283	Intercept		-1.0310
283	Trt	D	-1.9560
283	Trt	C	-1.0107
283	Trt	B	-0.1790
283	Trt	A	0.0000
284	Intercept		-0.7769
284	Trt	D	-1.7841
284	Trt	C	-0.7252
284	Trt	B	-0.4242
284	Trt	A	0.0000
285	Intercept		-0.7055
285	Trt	D	-2.4685
285	Trt	C	-1.2245
285	Trt	B	-0.2599
285	Trt	A	0.0000
286	Intercept		-0.9642
286	Trt	D	-1.3808
286	Trt	C	-0.7636
286	Trt	B	-0.4043
286	Trt	A	0.0000
287	Intercept		-0.6275
287	Trt	D	-4.2314
287	Trt	C	-1.0524
287	Trt	B	-0.3762
287	Trt	A	0.0000
288	Intercept		-0.8136
288	Trt	D	-1.4212
288	Trt	C	-0.8896
288	Trt	B	-0.3151
288	Trt	A	0.0000
289	Intercept		-0.7767
289	Trt	D	-1.8910
289	Trt	C	-0.7814
289	Trt	B	-0.7234
289	Trt	A	0.0000
290	Intercept		-0.7074
290	Trt	D	-2.8205
290	Trt	C	-0.7841
290	Trt	B	-0.3161
290	Trt	A	0.0000
291	Intercept		-0.4953
291	Trt	D	-2.2485
291	Trt	C	-0.9671
291	Trt	B	-0.7582
291	Trt	A	0.0000
292	Intercept		-0.5708
292	Trt	D	-2.1710
292	Trt	C	-1.0869
292	Trt	B	-0.2959
292	Trt	A	0.0000
293	Intercept		-0.3881
293	Trt	D	-1.9333
293	Trt	C	-1.3184
293	Trt	B	-0.8305
293	Trt	A	0.0000
294	Intercept		-0.8916
294	Trt	D	-1.5659
294	Trt	C	-1.4848
294	Trt	B	-0.2484
294	Trt	A	0.0000
295	Intercept		-0.6221
295	Trt	D	-2.3780
295	Trt	C	-1.3856
295	Trt	B	-0.3695
295	Trt	A	0.0000
296	Intercept		-0.5944
296	Trt	D	-2.1368
296	Trt	C	-1.0287
296	Trt	B	-0.8058
296	Trt	A	0.0000
297	Intercept		-0.6070
297	Trt	D	-2.2485
297	Trt	C	-1.2204
297	Trt	B	-0.6284
297	Trt	A	0.0000
298	Intercept		-0.9353
298	Trt	D	-2.4619
298	Trt	C	-0.7459
298	Trt	B	-0.2709
298	Trt	A	0.0000
299	Intercept		-0.5315
299	Trt	D	-1.9402
299	Trt	C	-0.9345
299	Trt	B	-0.6005
299	Trt	A	0.0000
300	Intercept		-0.8500
300	Trt	D	-1.7994
300	Trt	C	-0.7885
300	Trt	B	-0.2366
300	Trt	A	0.0000
301	Intercept		-0.7137
301	Trt	D	-2.1196
301	Trt	C	-1.1341
301	Trt	B	-0.4379
301	Trt	A	0.0000
302	Intercept		-0.7485
302	Trt	D	-2.7197
302	Trt	C	-0.9066
302	Trt	B	-0.3785
302	Trt	A	0.0000
303	Intercept		-0.6993
303	Trt	D	-2.4324
303	Trt	C	-0.8059
303	Trt	B	-0.5186
303	Trt	A	0.0000
304	Intercept		-0.8169
304	Trt	D	-3.0097
304	Trt	C	-0.8099
304	Trt	B	-0.2380
304	Trt	A	0.0000
305	Intercept		-0.7312
305	Trt	D	-1.5585
305	Trt	C	-1.2589
305	Trt	B	-0.4117
305	Trt	A	0.0000
306	Intercept		-0.6361
306	Trt	D	-2.0402
306	Trt	C	-1.1076
306	Trt	B	-0.9468
306	Trt	A	0.0000
307	Intercept		-0.7982
307	Trt	D	-1.5382
307	Trt	C	-0.7002
307	Trt	B	-0.4399
307	Trt	A	0.0000
308	Intercept		-0.7605
308	Trt	D	-1.5818
308	Trt	C	-0.9510
308	Trt	B	-0.4204
308	Trt	A	0.0000
309	Intercept		-0.6661
309	Trt	D	-1.7295
309	Trt	C	-1.2127
309	Trt	B	-0.8409
309	Trt	A	0.0000
310	Intercept		-0.7157
310	Trt	D	-1.7377
310	Trt	C	-1.0717
310	Trt	B	-0.6184
310	Trt	A	0.0000
311	Intercept		-0.7917
311	Trt	D	-2.0555
311	Trt	C	-1.6240
311	Trt	B	-0.2473
311	Trt	A	0.0000
312	Intercept		-0.6532
312	Trt	D	-2.0471
312	Trt	C	-1.2842
312	Trt	B	-0.3334
312	Trt	A	0.0000
313	Intercept		-0.5823
313	Trt	D	-1.9207
313	Trt	C	-1.0855
313	Trt	B	-0.4941
313	Trt	A	0.0000
314	Intercept		-1.1223
314	Trt	D	-2.4800
314	Trt	C	-0.7192
314	Trt	B	-0.1436
314	Trt	A	0.0000
315	Intercept		-0.6344
315	Trt	D	-2.0368
315	Trt	C	-1.2266
315	Trt	B	-0.3297
315	Trt	A	0.0000
316	Intercept		-0.7512
316	Trt	D	-2.1199
316	Trt	C	-1.0245
316	Trt	B	-0.5045
316	Trt	A	0.0000
317	Intercept		-0.5682
317	Trt	D	-2.1501
317	Trt	C	-1.1126
317	Trt	B	-0.6124
317	Trt	A	0.0000
318	Intercept		-0.7819
318	Trt	D	-1.8925
318	Trt	C	-0.6892
318	Trt	B	-0.4333
318	Trt	A	0.0000
319	Intercept		-0.6970
319	Trt	D	-1.6808
319	Trt	C	-0.8957
319	Trt	B	-0.3301
319	Trt	A	0.0000
320	Intercept		-0.7748
320	Trt	D	-1.9725
320	Trt	C	-1.1246
320	Trt	B	-0.3624
320	Trt	A	0.0000
321	Intercept		-0.5777
321	Trt	D	-1.8727
321	Trt	C	-1.1697
321	Trt	B	-0.3894
321	Trt	A	0.0000
322	Intercept		-0.6100
322	Trt	D	-3.3099
322	Trt	C	-0.8809
322	Trt	B	-0.4182
322	Trt	A	0.0000
323	Intercept		-0.7803
323	Trt	D	-1.5629
323	Trt	C	-0.9255
323	Trt	B	-0.4237
323	Trt	A	0.0000
324	Intercept		-0.7431
324	Trt	D	-2.4604
324	Trt	C	-0.8378
324	Trt	B	-0.4209
324	Trt	A	0.0000
325	Intercept		-0.4979
325	Trt	D	-2.2066
325	Trt	C	-1.2883
325	Trt	B	-0.5669
325	Trt	A	0.0000
326	Intercept		-0.6693
326	Trt	D	-3.1830
326	Trt	C	-1.1136
326	Trt	B	-0.4985
326	Trt	A	0.0000
327	Intercept		-0.9671
327	Trt	D	-1.8170
327	Trt	C	-1.0453
327	Trt	B	-0.3621
327	Trt	A	0.0000
328	Intercept		-1.0755
328	Trt	D	-2.5598
328	Trt	C	-0.4035
328	Trt	B	0.0441
328	Trt	A	0.0000
329	Intercept		-0.8981
329	Trt	D	-1.3435
329	Trt	C	-0.9013
329	Trt	B	-0.5613
329	Trt	A	0.0000
330	Intercept		-0.8282
330	Trt	D	-2.6132
330	Trt	C	-0.6527
330	Trt	B	-0.3878
330	Trt	A	0.0000
331	Intercept		-0.8002
331	Trt	D	-2.0057
331	Trt	C	-0.7729
331	Trt	B	-0.6900
331	Trt	A	0.0000
332	Intercept		-0.6391
332	Trt	D	-2.3674
332	Trt	C	-0.5607
332	Trt	B	-0.2848
332	Trt	A	0.0000
333	Intercept		-0.6064
333	Trt	D	-1.8028
333	Trt	C	-1.3605
333	Trt	B	-0.7854
333	Trt	A	0.0000
334	Intercept		-0.7215
334	Trt	D	-2.0670
334	Trt	C	-0.7959
334	Trt	B	-0.4040
334	Trt	A	0.0000
335	Intercept		-0.8605
335	Trt	D	-1.5785
335	Trt	C	-0.6908
335	Trt	B	-0.4074
335	Trt	A	0.0000
336	Intercept		-0.6786
336	Trt	D	-1.5210
336	Trt	C	-1.0496
336	Trt	B	-0.5064
336	Trt	A	0.0000
337	Intercept		-0.5999
337	Trt	D	-2.7426
337	Trt	C	-1.2838
337	Trt	B	-0.7665
337	Trt	A	0.0000
338	Intercept		-0.9252
338	Trt	D	-1.9663
338	Trt	C	-0.6737
338	Trt	B	-0.7263
338	Trt	A	0.0000
339	Intercept		-0.6591
339	Trt	D	-1.9563
339	Trt	C	-1.0570
339	Trt	B	-0.6685
339	Trt	A	0.0000
340	Intercept		-0.3746
340	Trt	D	-3.3448
340	Trt	C	-1.0886
340	Trt	B	-1.1422
340	Trt	A	0.0000
341	Intercept		-0.6254
341	Trt	D	-2.4829
341	Trt	C	-1.1493
341	Trt	B	-0.3193
341	Trt	A	0.0000
342	Intercept		-0.6137
342	Trt	D	-1.9313
342	Trt	C	-1.4186
342	Trt	B	-0.4072
342	Trt	A	0.0000
343	Intercept		-0.6153
343	Trt	D	-2.1034
343	Trt	C	-1.0544
343	Trt	B	-0.6251
343	Trt	A	0.0000
344	Intercept		-0.6816
344	Trt	D	-1.9914
344	Trt	C	-1.6892
344	Trt	B	-0.4910
344	Trt	A	0.0000
345	Intercept		-0.6958
345	Trt	D	-2.0545
345	Trt	C	-1.1008
345	Trt	B	-0.7364
345	Trt	A	0.0000
346	Intercept		-0.9907
346	Trt	D	-1.8871
346	Trt	C	-0.5222
346	Trt	B	-0.9929
346	Trt	A	0.0000
347	Intercept		-0.5622
347	Trt	D	-2.8200
347	Trt	C	-1.1447
347	Trt	B	-0.5461
347	Trt	A	0.0000
348	Intercept		-0.9488
348	Trt	D	-2.2762
348	Trt	C	-0.8702
348	Trt	B	-0.2481
348	Trt	A	0.0000
349	Intercept		-0.5508
349	Trt	D	-2.6953
349	Trt	C	-1.8020
349	Trt	B	-0.4603
349	Trt	A	0.0000
350	Intercept		-0.6518
350	Trt	D	-1.7877
350	Trt	C	-1.2730
350	Trt	B	-0.6965
350	Trt	A	0.0000
351	Intercept		-0.9449
351	Trt	D	-1.6719
351	Trt	C	-1.2539
351	Trt	B	-0.4641
351	Trt	A	0.0000
352	Intercept		-0.7474
352	Trt	D	-2.2988
352	Trt	C	-1.3631
352	Trt	B	-0.4051
352	Trt	A	0.0000
353	Intercept		-0.8048
353	Trt	D	-1.5766
353	Trt	C	-0.9503
353	Trt	B	-0.2569
353	Trt	A	0.0000
354	Intercept		-0.8054
354	Trt	D	-1.5750
354	Trt	C	-0.9773
354	Trt	B	-0.4222
354	Trt	A	0.0000
355	Intercept		-0.7365
355	Trt	D	-2.0140
355	Trt	C	-1.3571
355	Trt	B	-0.5449
355	Trt	A	0.0000
356	Intercept		-0.3475
356	Trt	D	-1.7818
356	Trt	C	-1.4775
356	Trt	B	-0.9416
356	Trt	A	0.0000
357	Intercept		-0.5946
357	Trt	D	-1.9649
357	Trt	C	-1.2338
357	Trt	B	-0.5856
357	Trt	A	0.0000
358	Intercept		-0.9749
358	Trt	D	-1.7464
358	Trt	C	-0.5501
358	Trt	B	-0.1209
358	Trt	A	0.0000
359	Intercept		-0.6697
359	Trt	D	-2.2428
359	Trt	C	-1.1643
359	Trt	B	-0.4475
359	Trt	A	0.0000
360	Intercept		-0.6061
360	Trt	D	-1.8629
360	Trt	C	-1.0087
360	Trt	B	-0.9053
360	Trt	A	0.0000
361	Intercept		-0.7550
361	Trt	D	-1.9692
361	Trt	C	-1.2597
361	Trt	B	-0.4734
361	Trt	A	0.0000
362	Intercept		-0.5712
362	Trt	D	-1.9421
362	Trt	C	-1.1154
362	Trt	B	-0.4561
362	Trt	A	0.0000
363	Intercept		-0.8576
363	Trt	D	-1.3990
363	Trt	C	-1.0882
363	Trt	B	-0.1258
363	Trt	A	0.0000
364	Intercept		-0.4844
364	Trt	D	-2.3590
364	Trt	C	-1.5407
364	Trt	B	-0.5203
364	Trt	A	0.0000
365	Intercept		-0.7125
365	Trt	D	-1.7578
365	Trt	C	-0.8858
365	Trt	B	-0.4969
365	Trt	A	0.0000
366	Intercept		-0.6749
366	Trt	D	-1.9986
366	Trt	C	-1.0198
366	Trt	B	-0.4964
366	Trt	A	0.0000
367	Intercept		-0.5620
367	Trt	D	-2.2944
367	Trt	C	-1.4200
367	Trt	B	-0.9388
367	Trt	A	0.0000
368	Intercept		-0.9105
368	Trt	D	-2.0774
368	Trt	C	-0.7141
368	Trt	B	-0.1683
368	Trt	A	0.0000
369	Intercept		-0.9995
369	Trt	D	-1.8192
369	Trt	C	-0.3311
369	Trt	B	-0.3594
369	Trt	A	0.0000
370	Intercept		-0.5993
370	Trt	D	-2.4450
370	Trt	C	-0.9273
370	Trt	B	-0.4477
370	Trt	A	0.0000
371	Intercept		-0.9949
371	Trt	D	-1.9919
371	Trt	C	-0.5207
371	Trt	B	-0.3804
371	Trt	A	0.0000
372	Intercept		-0.6180
372	Trt	D	-2.2300
372	Trt	C	-1.1123
372	Trt	B	-0.8030
372	Trt	A	0.0000
373	Intercept		-0.8883
373	Trt	D	-1.6733
373	Trt	C	-0.5274
373	Trt	B	-0.4049
373	Trt	A	0.0000
374	Intercept		-0.6116
374	Trt	D	-2.0833
374	Trt	C	-1.4128
374	Trt	B	-0.7395
374	Trt	A	0.0000
375	Intercept		-0.4185
375	Trt	D	-2.0700
375	Trt	C	-1.7449
375	Trt	B	-0.9572
375	Trt	A	0.0000
376	Intercept		-0.6796
376	Trt	D	-2.5569
376	Trt	C	-1.1670
376	Trt	B	-0.1590
376	Trt	A	0.0000
377	Intercept		-0.7500
377	Trt	D	-2.7030
377	Trt	C	-0.7330
377	Trt	B	-0.5253
377	Trt	A	0.0000
378	Intercept		-0.6979
378	Trt	D	-1.6130
378	Trt	C	-0.9846
378	Trt	B	-0.3188
378	Trt	A	0.0000
379	Intercept		-0.9430
379	Trt	D	-2.6663
379	Trt	C	-0.8057
379	Trt	B	-0.3506
379	Trt	A	0.0000
380	Intercept		-0.8736
380	Trt	D	-1.3107
380	Trt	C	-0.9845
380	Trt	B	-0.1281
380	Trt	A	0.0000
381	Intercept		-0.7185
381	Trt	D	-2.0602
381	Trt	C	-1.3622
381	Trt	B	-0.2543
381	Trt	A	0.0000
382	Intercept		-0.6830
382	Trt	D	-2.0981
382	Trt	C	-1.4130
382	Trt	B	-0.6005
382	Trt	A	0.0000
383	Intercept		-0.8280
383	Trt	D	-1.6117
383	Trt	C	-1.0498
383	Trt	B	-0.2034
383	Trt	A	0.0000
384	Intercept		-0.5697
384	Trt	D	-1.9654
384	Trt	C	-1.2000
384	Trt	B	-0.6130
384	Trt	A	0.0000
385	Intercept		-0.7872
385	Trt	D	-1.8074
385	Trt	C	-0.6946
385	Trt	B	-0.4727
385	Trt	A	0.0000
386	Intercept		-1.0835
386	Trt	D	-1.7577
386	Trt	C	-0.9366
386	Trt	B	-0.1908
386	Trt	A	0.0000
387	Intercept		-1.0022
387	Trt	D	-1.9815
387	Trt	C	-0.7898
387	Trt	B	-0.1457
387	Trt	A	0.0000
388	Intercept		-0.4972
388	Trt	D	-2.0555
388	Trt	C	-1.5017
388	Trt	B	-0.7242
388	Trt	A	0.0000
389	Intercept		-0.5552
389	Trt	D	-1.8481
389	Trt	C	-0.8930
389	Trt	B	-0.6986
389	Trt	A	0.0000
390	Intercept		-0.5998
390	Trt	D	-1.4984
390	Trt	C	-1.5767
390	Trt	B	-0.7208
390	Trt	A	0.0000
391	Intercept		-0.5995
391	Trt	D	-2.0266
391	Trt	C	-1.1424
391	Trt	B	-0.9496
391	Trt	A	0.0000
392	Intercept		-0.8134
392	Trt	D	-1.9715
392	Trt	C	-0.6879
392	Trt	B	-0.5592
392	Trt	A	0.0000
393	Intercept		-0.6359
393	Trt	D	-1.7680
393	Trt	C	-0.9674
393	Trt	B	-0.2304
393	Trt	A	0.0000
394	Intercept		-0.4287
394	Trt	D	-1.9005
394	Trt	C	-1.5950
394	Trt	B	-0.7296
394	Trt	A	0.0000
395	Intercept		-0.9240
395	Trt	D	-1.0843
395	Trt	C	-0.8514
395	Trt	B	-0.1681
395	Trt	A	0.0000
396	Intercept		-0.6982
396	Trt	D	-1.5510
396	Trt	C	-0.9766
396	Trt	B	-0.5131
396	Trt	A	0.0000
397	Intercept		-0.4688
397	Trt	D	-1.9851
397	Trt	C	-1.0790
397	Trt	B	-0.9803
397	Trt	A	0.0000
398	Intercept		-0.7812
398	Trt	D	-2.4871
398	Trt	C	-0.9335
398	Trt	B	-0.4878
398	Trt	A	0.0000
399	Intercept		-0.8097
399	Trt	D	-2.0652
399	Trt	C	-0.6810
399	Trt	B	-0.4282
399	Trt	A	0.0000
400	Intercept		-0.5862
400	Trt	D	-2.1208
400	Trt	C	-0.7024
400	Trt	B	-0.6170
400	Trt	A	0.0000
401	Intercept		-1.1200
401	Trt	D	-1.5572
401	Trt	C	-0.5879
401	Trt	B	-0.0818
401	Trt	A	0.0000
402	Intercept		-0.6710
402	Trt	D	-3.2455
402	Trt	C	-0.9003
402	Trt	B	-0.7397
402	Trt	A	0.0000
403	Intercept		-0.3612
403	Trt	D	-2.6195
403	Trt	C	-1.4599
403	Trt	B	-0.8679
403	Trt	A	0.0000
404	Intercept		-0.6612
404	Trt	D	-1.5831
404	Trt	C	-0.9494
404	Trt	B	-0.7250
404	Trt	A	0.0000
405	Intercept		-1.0225
405	Trt	D	-1.6872
405	Trt	C	-1.3042
405	Trt	B	-0.3177
405	Trt	A	0.0000
406	Intercept		-0.7795
406	Trt	D	-2.4598
406	Trt	C	-1.1067
406	Trt	B	-0.3182
406	Trt	A	0.0000
407	Intercept		-0.6228
407	Trt	D	-2.6932
407	Trt	C	-1.0205
407	Trt	B	-0.5278
407	Trt	A	0.0000
408	Intercept		-0.9271
408	Trt	D	-2.0379
408	Trt	C	-0.9028
408	Trt	B	-0.4745
408	Trt	A	0.0000
409	Intercept		-0.5695
409	Trt	D	-2.1615
409	Trt	C	-1.5298
409	Trt	B	-0.3421
409	Trt	A	0.0000
410	Intercept		-0.7231
410	Trt	D	-2.0205
410	Trt	C	-0.8825
410	Trt	B	-0.4606
410	Trt	A	0.0000
411	Intercept		-1.0038
411	Trt	D	-1.3669
